Species,Diet
Dicrostonyx nelsoni,Herbivore
Dicrostonyx nunatakensis,Herbivore
Dicrostonyx richardsoni,Herbivore
Dicrostonyx torquatus,Herbivore
Dicrostonyx unalascensis,Herbivore
Dicrostonyx vinogradovi,Herbivore
Dinaromys bogdanovi,Herbivore
Eligmodontia moreni,Omnivore
Eligmodontia morgani,Omnivore
Eligmodontia puerulus,Omnivore
Eligmodontia typus,Omnivore
Ellobius alaicus,Herbivore
Ellobius fuscocapillus,Herbivore
Ellobius lutescens,Herbivore
Ellobius talpinus,Herbivore
Ellobius tancrei,Herbivore
Eolagurus luteus,Herbivore
Eolagurus przewalskii,Herbivore
Eothenomys cachinus,Omnivore
Eothenomys chinensis,Omnivore
Eothenomys custos,Omnivore
Eothenomys melanogaster,Omnivore
Eothenomys miletus,Omnivore
Eothenomys olitor,Omnivore
Eothenomys proditor,Omnivore
Eothenomys wardi,Omnivore
Eremoryzomys polius,Omnivore
Euneomys chinchilloides,Herbivore
Euneomys fossor,Herbivore
Euneomys mordax,Herbivore
Euneomys petersoni,Herbivore
Euryoryzomys emmonsae,Omnivore
Euryoryzomys lamia,Omnivore
Euryoryzomys legatus,Omnivore
Euryoryzomys macconnelli,Omnivore
Euryoryzomys nitidus,Omnivore
Euryoryzomys russatus,Omnivore
Galenomys garleppi,Herbivore
Geoxus valdivianus,Carnivore
Graomys centralis,Herbivore
Graomys domorum,Herbivore
Graomys edithae,Herbivore
Graomys griseoflavus,Herbivore
Habromys chinanteco,Omnivore
Habromys delicatulus,Omnivore
Habromys ixtlani,Omnivore
Habromys lepturus,Omnivore
Habromys lophurus,Omnivore
Habromys schmidlyi,Omnivore
Habromys simulatus,Omnivore
Handleyomys alfaroi,Omnivore
Handleyomys chapmani,Omnivore
Handleyomys fuscatus,Omnivore
Handleyomys intectus,Omnivore
Handleyomys melanotis,Omnivore
Handleyomys rhabdops,Omnivore
Handleyomys rostratus,Omnivore
Handleyomys saturatior,Omnivore
Hodomys alleni,Herbivore
Holochilus brasiliensis,Herbivore
Holochilus chacarius,Omnivore
Holochilus sciureus,Omnivore
Hylaeamys acritus,Omnivore
Hylaeamys laticeps,Omnivore
Hylaeamys megacephalus,Omnivore
Hylaeamys oniscus,Omnivore
Hylaeamys perenensis,Omnivore
Hylaeamys tatei,Omnivore
Hylaeamys yunganus,Omnivore
Hyperacrius fertilis,Herbivore
Hyperacrius wynnei,Herbivore
Ichthyomys hydrobates,Carnivore
Ichthyomys pittieri,Carnivore
Ichthyomys stolzmanni,Carnivore
Ichthyomys tweedii,Carnivore
